country,years,value
Mongolia,1978,0
Morocco,1978,0
Mozambique,1978,105000
Myanmar,1978,132000
Nepal,1978,0
Netherlands,1978,0
New Zealand,1978,0
Nicaragua,1978,0
Niger,1978,0
Nigeria,1978,100
North Korea,1978,0
North Macedonia,1978,0
Norway,1978,0
Oman,1978,0
Pakistan,1978,0
Panama,1978,0
Papua New Guinea,1978,0
Paraguay,1978,0
Peru,1978,0
Philippines,1978,1860000
Poland,1978,0
Portugal,1978,0
Romania,1978,0
Russia,1978,0
Samoa,1978,0
Saudi Arabia,1978,0
Senegal,1978,0
Seychelles,1978,0
Sierra Leone,1978,0
Slovak Republic,1978,0
Slovenia,1978,0
Solomon Islands,1978,0
Somalia,1978,0
South Africa,1978,0
South Korea,1978,4000
Spain,1978,0
Sri Lanka,1978,1010000
St. Kitts and Nevis,1978,0
St. Lucia,1978,0
St. Vincent and the Grenadines,1978,0
Sudan,1978,0
Sweden,1978,0
Switzerland,1978,0
Syria,1978,0
Tajikistan,1978,0
Tanzania,1978,0
Thailand,1978,50
Timor-Leste,1978,0
Tonga,1978,0
Trinidad and Tobago,1978,0
Turkey,1978,0
Tuvalu,1978,0
Uganda,1978,0
Ukraine,1978,0
United Kingdom,1978,0
United States,1978,215
Uruguay,1978,0
Vanuatu,1978,0
Venezuela,1978,0
Vietnam,1978,0
Yemen,1978,0
Zimbabwe,1978,0
Afghanistan,1979,0
Albania,1979,0
Algeria,1979,0
Antigua and Barbuda,1979,0
Argentina,1979,0
Australia,1979,15
Austria,1979,0
Bahamas,1979,0
Bangladesh,1979,203
Barbados,1979,0
Belarus,1979,0
Belgium,1979,0
Belize,1979,0
Bhutan,1979,0
Bolivia,1979,0
Bosnia and Herzegovina,1979,0
Brazil,1979,0
Bulgaria,1979,0
Burundi,1979,0
Cambodia,1979,0
Canada,1979,0
Cape Verde,1979,0
Central African Republic,1979,0
Chad,1979,0
Chile,1979,0
China,1979,0
Colombia,1979,0
Comoros,1979,0
"Congo, Dem. Rep.",1979,0
Costa Rica,1979,0
Croatia,1979,0
Cuba,1979,0
Cyprus,1979,0
Czech Republic,1979,0
Denmark,1979,0
Djibouti,1979,0
Dominica,1979,72100
Dominican Republic,1979,1560000
Egypt,1979,15000
El Salvador,1979,0
Eritrea,1979,0
Estonia,1979,0
Eswatini,1979,0
Fiji,1979,36000
Finland,1979,0
France,1979,0
Gambia,1979,0
Georgia,1979,0
Germany,1979,0
Greece,1979,0
Grenada,1979,0
Guatemala,1979,0
Guinea,1979,0
Guinea-Bissau,1979,0
Haiti,1979,1120
Honduras,1979,0
Hungary,1979,0
India,1979,1610000
Indonesia,1979,0
Iran,1979,0
Ireland,1979,0
Israel,1979,0
Italy,1979,0
Jamaica,1979,0
Japan,1979,71
Jordan,1979,0
Kazakhstan,1979,0
Kenya,1979,0
Kiribati,1979,0
Kyrgyz Republic,1979,0
Lao,1979,0
Latvia,1979,0
Lebanon,1979,0
Lesotho,1979,0
Liberia,1979,0
Lithuania,1979,0
Luxembourg,1979,0
Madagascar,1979,0
Malawi,1979,0
Malaysia,1979,0
Maldives,1979,0
Marshall Islands,1979,0
Mauritania,1979,0
Mauritius,1979,105000
Mexico,1979,0
"Micronesia, Fed. Sts.",1979,0
Moldova,1979,0
Mongolia,1979,0
Morocco,1979,0
Mozambique,1979,0
Myanmar,1979,0
Nepal,1979,0
Netherlands,1979,0
New Zealand,1979,0
Nicaragua,1979,0
Niger,1979,0
Nigeria,1979,0
North Korea,1979,0
North Macedonia,1979,0
Norway,1979,0
Oman,1979,0
Pakistan,1979,0
Panama,1979,0
Papua New Guinea,1979,0
Paraguay,1979,0
Peru,1979,0
Philippines,1979,586000
Poland,1979,0
Portugal,1979,0
Romania,1979,0
Russia,1979,0
Samoa,1979,0
Saudi Arabia,1979,0
Senegal,1979,0
Seychelles,1979,0
Sierra Leone,1979,0
Slovak Republic,1979,0
Slovenia,1979,0
Solomon Islands,1979,6000
Somalia,1979,0
South Africa,1979,0
South Korea,1979,35100
Spain,1979,0
Sri Lanka,1979,0
St. Kitts and Nevis,1979,0
St. Lucia,1979,0
St. Vincent and the Grenadines,1979,0
Sudan,1979,0
Sweden,1979,0
Switzerland,1979,0
Syria,1979,0
Tajikistan,1979,0
Tanzania,1979,0
Thailand,1979,0
Timor-Leste,1979,0
Tonga,1979,0
Trinidad and Tobago,1979,0
Turkey,1979,0
Tuvalu,1979,0
Uganda,1979,0
Ukraine,1979,0
United Kingdom,1979,0
United States,1979,2350
Uruguay,1979,0
Vanuatu,1979,0
Venezuela,1979,0
Vietnam,1979,0
Yemen,1979,0
Zimbabwe,1979,0
Afghanistan,1980,0
Albania,1980,0
Algeria,1980,0
Antigua and Barbuda,1980,0
Argentina,1980,0
Australia,1980,0
Austria,1980,0
Bahamas,1980,0
Bangladesh,1980,1060
Barbados,1980,5010
Belarus,1980,0
Belgium,1980,0
Belize,1980,0
Bhutan,1980,0
Bolivia,1980,0
Bosnia and Herzegovina,1980,0
Brazil,1980,63
Bulgaria,1980,0
Burundi,1980,0
Cambodia,1980,0
Canada,1980,0
Cape Verde,1980,0
Central African Republic,1980,0
Chad,1980,0
Chile,1980,0
China,1980,288
Colombia,1980,0
Comoros,1980,0
"Congo, Dem. Rep.",1980,0
Costa Rica,1980,0
Croatia,1980,0
Cuba,1980,3
Cyprus,1980,0
Czech Republic,1980,0
Denmark,1980,0
Djibouti,1980,0
Dominica,1980,0
Dominican Republic,1980,7
Egypt,1980,0
El Salvador,1980,0
Eritrea,1980,0
Estonia,1980,0
Eswatini,1980,0
Fiji,1980,35300
Finland,1980,0
France,1980,0
Gambia,1980,0
Georgia,1980,0
Germany,1980,0
Greece,1980,0
Grenada,1980,0
Guatemala,1980,0
Guinea,1980,0
Guinea-Bissau,1980,0
Haiti,1980,1170000
Honduras,1980,0
Hungary,1980,0
India,1980,153
Indonesia,1980,800
Iran,1980,0
Ireland,1980,0
Israel,1980,0
Italy,1980,0
Jamaica,1980,30000
Japan,1980,17000
Jordan,1980,0
Kazakhstan,1980,0
Kenya,1980,0
Kiribati,1980,0
Kyrgyz Republic,1980,0
Lao,1980,0
Latvia,1980,0
Lebanon,1980,0
Lesotho,1980,0
Liberia,1980,0
Lithuania,1980,0
Luxembourg,1980,0
Madagascar,1980,0
Malawi,1980,0
Malaysia,1980,0
Maldives,1980,0
Marshall Islands,1980,0
Mauritania,1980,0
Mauritius,1980,0
Mexico,1980,0
"Micronesia, Fed. Sts.",1980,0
Moldova,1980,0
Mongolia,1980,0
Morocco,1980,0
Mozambique,1980,0
Myanmar,1980,0
Nepal,1980,0
Netherlands,1980,0
New Zealand,1980,0
Nicaragua,1980,0
Niger,1980,0
Nigeria,1980,0
North Korea,1980,0
North Macedonia,1980,0
Norway,1980,0
Oman,1980,0
Pakistan,1980,41
Panama,1980,0
Papua New Guinea,1980,0
Paraguay,1980,0
Peru,1980,0
Philippines,1980,1870000
Poland,1980,0
Portugal,1980,0
Romania,1980,0
Russia,1980,0
Samoa,1980,0
Saudi Arabia,1980,0
Senegal,1980,0
Seychelles,1980,0
Sierra Leone,1980,0
Slovak Republic,1980,0
Slovenia,1980,0
Solomon Islands,1980,0
Somalia,1980,0
South Africa,1980,0
South Korea,1980,20200
Spain,1980,0
Sri Lanka,1980,0
St. Kitts and Nevis,1980,0
St. Lucia,1980,80000
St. Vincent and the Grenadines,1980,20500
Sudan,1980,0
Sweden,1980,0
Switzerland,1980,0
Syria,1980,0
Tajikistan,1980,0
Tanzania,1980,0
Thailand,1980,0
Timor-Leste,1980,0
Tonga,1980,0
Trinidad and Tobago,1980,0
Turkey,1980,0
Tuvalu,1980,0
Uganda,1980,0
Ukraine,1980,0
United Kingdom,1980,0
United States,1980,582
Uruguay,1980,0
Vanuatu,1980,0
Venezuela,1980,0
Vietnam,1980,15700000
Yemen,1980,0
Zimbabwe,1980,0
Afghanistan,1981,0
Albania,1981,0
Algeria,1981,0
Antigua and Barbuda,1981,0
Argentina,1981,0
Australia,1981,0
Austria,1981,0
Bahamas,1981,0
Bangladesh,1981,2040000
Barbados,1981,0
Belarus,1981,0
Belgium,1981,0
Belize,1981,0
Bhutan,1981,0
Bolivia,1981,0
Bosnia and Herzegovina,1981,0
Brazil,1981,0
Bulgaria,1981,0
Burundi,1981,0
Cambodia,1981,0
Canada,1981,0
Cape Verde,1981,0
Central African Republic,1981,1850
Chad,1981,0
Chile,1981,0
China,1981,0
Colombia,1981,0
Comoros,1981,0
"Congo, Dem. Rep.",1981,0
Costa Rica,1981,0
Croatia,1981,0
Cuba,1981,0
Cyprus,1981,0
Czech Republic,1981,0
Denmark,1981,9
Djibouti,1981,0
Dominica,1981,0
Dominican Republic,1981,0
Egypt,1981,0
El Salvador,1981,0
Eritrea,1981,0
Estonia,1981,0
Eswatini,1981,0
Fiji,1981,4700
Finland,1981,0
France,1981,0
Gambia,1981,0
Georgia,1981,0
Germany,1981,0
Greece,1981,0
Grenada,1981,0
Guatemala,1981,0
Guinea,1981,0
Guinea-Bissau,1981,0
Haiti,1981,0
Honduras,1981,0
Hungary,1981,0
India,1981,133000
Indonesia,1981,0
Iran,1981,200
Ireland,1981,0
Israel,1981,0
Italy,1981,0
Jamaica,1981,0
Japan,1981,82800
Jordan,1981,0
Kazakhstan,1981,0
Kenya,1981,0
Kiribati,1981,0
Kyrgyz Republic,1981,0
Lao,1981,0
Latvia,1981,0
Lebanon,1981,0
Lesotho,1981,0
Liberia,1981,0
Lithuania,1981,0
Luxembourg,1981,0
Madagascar,1981,118000
Malawi,1981,0
Malaysia,1981,0
Maldives,1981,0
Marshall Islands,1981,0
Mauritania,1981,0
Mauritius,1981,0
Mexico,1981,100
"Micronesia, Fed. Sts.",1981,0
Moldova,1981,0
Mongolia,1981,0
Morocco,1981,0
Mozambique,1981,0
Myanmar,1981,0
Nepal,1981,0
Netherlands,1981,0
New Zealand,1981,0
Nicaragua,1981,0
Niger,1981,0
Nigeria,1981,0
North Korea,1981,0
North Macedonia,1981,0
Norway,1981,0
Oman,1981,26
Pakistan,1981,656
Panama,1981,0
Papua New Guinea,1981,0
Paraguay,1981,0
Peru,1981,0
Philippines,1981,1100000
Poland,1981,0
Portugal,1981,0
Romania,1981,0
Russia,1981,0
Samoa,1981,0
Saudi Arabia,1981,0
Senegal,1981,0
Seychelles,1981,0
Sierra Leone,1981,0
Slovak Republic,1981,0
Slovenia,1981,0
Solomon Islands,1981,0
Somalia,1981,0
South Africa,1981,0
South Korea,1981,14400
Spain,1981,0
Sri Lanka,1981,0
St. Kitts and Nevis,1981,0
St. Lucia,1981,0
St. Vincent and the Grenadines,1981,0
Sudan,1981,0
Sweden,1981,0
Switzerland,1981,0
Syria,1981,0
Tajikistan,1981,0
Tanzania,1981,0
Thailand,1981,43100
Timor-Leste,1981,0
Tonga,1981,0
Trinidad and Tobago,1981,0
Turkey,1981,0
Tuvalu,1981,0
Uganda,1981,0
Ukraine,1981,0
United Kingdom,1981,12
United States,1981,30
Uruguay,1981,0
Vanuatu,1981,0
Venezuela,1981,0
Vietnam,1981,0
Yemen,1981,0
Zimbabwe,1981,0
Afghanistan,1982,0
Albania,1982,0
Algeria,1982,0
Antigua and Barbuda,1982,0
Argentina,1982,0
Australia,1982,1
Austria,1982,0
Bahamas,1982,0
Bangladesh,1982,0
Barbados,1982,0
Belarus,1982,0
Belgium,1982,0
Belize,1982,0
Bhutan,1982,0
Bolivia,1982,0
Bosnia and Herzegovina,1982,0
Brazil,1982,4330
Bulgaria,1982,0
Burundi,1982,0
Cambodia,1982,0
Canada,1982,0
Cape Verde,1982,2230
Central African Republic,1982,0
Chad,1982,0
Chile,1982,0
China,1982,0
Colombia,1982,0
Comoros,1982,0
"Congo, Dem. Rep.",1982,0
Costa Rica,1982,0
Croatia,1982,0
Cuba,1982,180000
Cyprus,1982,0
Czech Republic,1982,0
Denmark,1982,0
Djibouti,1982,0
Dominica,1982,0
Dominican Republic,1982,0
Egypt,1982,0
El Salvador,1982,0
Eritrea,1982,0
Estonia,1982,0
Eswatini,1982,0
Fiji,1982,0
Finland,1982,0
France,1982,12
Gambia,1982,0
Georgia,1982,0
Germany,1982,0
Greece,1982,0
Grenada,1982,0
Guatemala,1982,0
Guinea,1982,0
Guinea-Bissau,1982,0
Haiti,1982,0
Honduras,1982,20100
Hungary,1982,0
India,1982,5300000
Indonesia,1982,125
Iran,1982,0
Ireland,1982,0
Israel,1982,0
Italy,1982,0
Jamaica,1982,0
Japan,1982,149000
Jordan,1982,0
Kazakhstan,1982,0
Kenya,1982,0
Kiribati,1982,0
Kyrgyz Republic,1982,0
Lao,1982,0
Latvia,1982,0
Lebanon,1982,0
Lesotho,1982,0
Liberia,1982,0
Lithuania,1982,0
Luxembourg,1982,0
Madagascar,1982,70100
Malawi,1982,0
Malaysia,1982,0
Maldives,1982,0
Marshall Islands,1982,0
Mauritania,1982,0
Mauritius,1982,32500
Mexico,1982,50200
"Micronesia, Fed. Sts.",1982,0
Moldova,1982,0
Mongolia,1982,0
Morocco,1982,0
Mozambique,1982,0
Myanmar,1982,36000
Nepal,1982,0
Netherlands,1982,0
New Zealand,1982,0
Nicaragua,1982,52100
Niger,1982,0
Nigeria,1982,0
North Korea,1982,0
North Macedonia,1982,0
Norway,1982,0
Oman,1982,0
Pakistan,1982,0
Panama,1982,0
Papua New Guinea,1982,0
Paraguay,1982,0
Peru,1982,0
Philippines,1982,1020000
Poland,1982,0
Portugal,1982,0
Romania,1982,0
Russia,1982,0
Samoa,1982,0
Saudi Arabia,1982,0
Senegal,1982,0
Seychelles,1982,0
Sierra Leone,1982,0
Slovak Republic,1982,0
Slovenia,1982,0
Solomon Islands,1982,30000
Somalia,1982,0
South Africa,1982,0
South Korea,1982,5110
Spain,1982,0
Sri Lanka,1982,0
St. Kitts and Nevis,1982,0
St. Lucia,1982,0
St. Vincent and the Grenadines,1982,0
Sudan,1982,0
Sweden,1982,0
Switzerland,1982,0
Syria,1982,0
Tajikistan,1982,0
Tanzania,1982,0
Thailand,1982,0
Timor-Leste,1982,0
Tonga,1982,147000
Trinidad and Tobago,1982,0
Turkey,1982,0
Tuvalu,1982,0
Uganda,1982,0
Ukraine,1982,0
United Kingdom,1982,0
United States,1982,52000
Uruguay,1982,0
Vanuatu,1982,0
Venezuela,1982,0
Vietnam,1982,1300000
Yemen,1982,0
Zimbabwe,1982,0
Afghanistan,1983,0
Albania,1983,0
Algeria,1983,0
Antigua and Barbuda,1983,0
Argentina,1983,0
Australia,1983,0
Austria,1983,0
Bahamas,1983,0
Bangladesh,1983,6040
Barbados,1983,0
Belarus,1983,0
Belgium,1983,0
Belize,1983,0
Bhutan,1983,0
Bolivia,1983,0
Bosnia and Herzegovina,1983,0
Brazil,1983,0
Bulgaria,1983,0
Burundi,1983,0
Cambodia,1983,0
Canada,1983,0
Cape Verde,1983,0
Central African Republic,1983,0
Chad,1983,0
Chile,1983,0
China,1983,21900
Colombia,1983,541
Comoros,1983,30100
"Congo, Dem. Rep.",1983,0
Costa Rica,1983,0
Croatia,1983,0
Cuba,1983,0
Cyprus,1983,0
Czech Republic,1983,0
Denmark,1983,2
Djibouti,1983,0
Dominica,1983,0
Dominican Republic,1983,0
Egypt,1983,0
El Salvador,1983,0
Eritrea,1983,0
Estonia,1983,0
Eswatini,1983,0
Fiji,1983,211000
Finland,1983,0
France,1983,11
Gambia,1983,0
Georgia,1983,0
Germany,1983,0
Greece,1983,0
Grenada,1983,0
Guatemala,1983,0
Guinea,1983,0
Guinea-Bissau,1983,0
Haiti,1983,0
Honduras,1983,0
Hungary,1983,0
India,1983,1560000
Indonesia,1983,0
Iran,1983,0
Ireland,1983,10
Israel,1983,0
Italy,1983,0
Jamaica,1983,0
Japan,1983,253
Jordan,1983,0
Kazakhstan,1983,0
Kenya,1983,0
Kiribati,1983,0
Kyrgyz Republic,1983,0
Lao,1983,0
Latvia,1983,0
Lebanon,1983,0
Lesotho,1983,0
Liberia,1983,0
Lithuania,1983,0
Luxembourg,1983,0
Madagascar,1983,13600
Malawi,1983,0
Malaysia,1983,0
Maldives,1983,0
Marshall Islands,1983,0
Mauritania,1983,0
Mauritius,1983,352
Mexico,1983,283000
"Micronesia, Fed. Sts.",1983,0
Moldova,1983,0
Mongolia,1983,0
Morocco,1983,0
Mozambique,1983,0
Myanmar,1983,0
Nepal,1983,0
Netherlands,1983,0
New Zealand,1983,0
Nicaragua,1983,0
Niger,1983,0
Nigeria,1983,0
North Korea,1983,0
North Macedonia,1983,0
Norway,1983,0
Oman,1983,0
Pakistan,1983,0
Panama,1983,0
Papua New Guinea,1983,0
Paraguay,1983,0
Peru,1983,0
Philippines,1983,171000
Poland,1983,900
Portugal,1983,0
Romania,1983,0
Russia,1983,0
Samoa,1983,1000
Saudi Arabia,1983,0
Senegal,1983,0
Seychelles,1983,0
Sierra Leone,1983,0
Slovak Republic,1983,0
Slovenia,1983,0
Solomon Islands,1983,0
Somalia,1983,0
South Africa,1983,210
South Korea,1983,0
Spain,1983,0
Sri Lanka,1983,0
St. Kitts and Nevis,1983,0
St. Lucia,1983,3000
St. Vincent and the Grenadines,1983,0
Sudan,1983,0
Sweden,1983,0
Switzerland,1983,140
Syria,1983,0
Tajikistan,1983,0
Tanzania,1983,0
Thailand,1983,0
Timor-Leste,1983,0
Tonga,1983,0
Trinidad and Tobago,1983,0
Turkey,1983,0
Tuvalu,1983,0
Uganda,1983,0
Ukraine,1983,0
United Kingdom,1983,17
United States,1983,6130
Uruguay,1983,0
Vanuatu,1983,0
Venezuela,1983,0
Vietnam,1983,1180000
Yemen,1983,0
Zimbabwe,1983,0
Afghanistan,1984,0
Albania,1984,0
Algeria,1984,0
Antigua and Barbuda,1984,0
Argentina,1984,0
Australia,1984,0
Austria,1984,12
Bahamas,1984,0
Bangladesh,1984,0
Barbados,1984,0
Belarus,1984,0
Belgium,1984,0
Belize,1984,0
Bhutan,1984,0
Bolivia,1984,0
Bosnia and Herzegovina,1984,0
Brazil,1984,210
Bulgaria,1984,0
Burundi,1984,0
Cambodia,1984,0
Canada,1984,0
Cape Verde,1984,5530
Central African Republic,1984,0
Chad,1984,0
Chile,1984,323000
China,1984,13
Colombia,1984,0
Comoros,1984,0
"Congo, Dem. Rep.",1984,0
Costa Rica,1984,0
Croatia,1984,0
Cuba,1984,0
Cyprus,1984,0
Czech Republic,1984,0
Denmark,1984,0
Djibouti,1984,0
Dominica,1984,10000
Dominican Republic,1984,0
Egypt,1984,0
El Salvador,1984,0
Eritrea,1984,0
Estonia,1984,0
Eswatini,1984,633000
Fiji,1984,0
Finland,1984,0
France,1984,4
Gambia,1984,0
Georgia,1984,0
Germany,1984,0
Greece,1984,0
Grenada,1984,0
Guatemala,1984,0
Guinea,1984,0
Guinea-Bissau,1984,0
Haiti,1984,0
Honduras,1984,0
Hungary,1984,4
India,1984,1340000
Indonesia,1984,0
Iran,1984,0
Ireland,1984,0
Israel,1984,0
Italy,1984,0
Jamaica,1984,0
Japan,1984,0
Jordan,1984,0
Kazakhstan,1984,0
Kenya,1984,0
Kiribati,1984,0
Kyrgyz Republic,1984,0
Lao,1984,0
Latvia,1984,0
Lebanon,1984,0
Lesotho,1984,0
Liberia,1984,0
Lithuania,1984,0
Luxembourg,1984,0
Madagascar,1984,100000
Malawi,1984,0
Malaysia,1984,0
Maldives,1984,0
Marshall Islands,1984,0
Mauritania,1984,0
Mauritius,1984,0
Mexico,1984,10000
"Micronesia, Fed. Sts.",1984,0
Moldova,1984,0
Mongolia,1984,0
Morocco,1984,0
Mozambique,1984,350000
Myanmar,1984,0
Nepal,1984,0
Netherlands,1984,0
New Zealand,1984,0
Nicaragua,1984,0
Niger,1984,0
Nigeria,1984,0
North Korea,1984,0
North Macedonia,1984,0
Norway,1984,0
Oman,1984,0
Pakistan,1984,0
Panama,1984,0
Papua New Guinea,1984,0
Paraguay,1984,0
Peru,1984,0
Philippines,1984,4540000
Poland,1984,0
Portugal,1984,0
Romania,1984,0
Russia,1984,0
Samoa,1984,0
Saudi Arabia,1984,0
Senegal,1984,0
Seychelles,1984,0
Sierra Leone,1984,60
Slovak Republic,1984,0
Slovenia,1984,0
Solomon Islands,1984,0
Somalia,1984,0
South Africa,1984,500000
South Korea,1984,0
Spain,1984,60100
Sri Lanka,1984,0
St. Kitts and Nevis,1984,0
St. Lucia,1984,0
St. Vincent and the Grenadines,1984,0
Sudan,1984,0
Sweden,1984,0
Switzerland,1984,0
Syria,1984,0
Tajikistan,1984,0
Tanzania,1984,0
Thailand,1984,0
Timor-Leste,1984,0
Tonga,1984,0
Trinidad and Tobago,1984,0
Turkey,1984,0
Tuvalu,1984,0
Uganda,1984,0
Ukraine,1984,0
United Kingdom,1984,22
United States,1984,15800
Uruguay,1984,0
Vanuatu,1984,0
Venezuela,1984,0
Vietnam,1984,652000
Yemen,1984,0
Zimbabwe,1984,0
Afghanistan,1985,0
Albania,1985,0
Algeria,1985,0
Antigua and Barbuda,1985,0
Argentina,1985,0
Australia,1985,27
Austria,1985,0
Bahamas,1985,0
Bangladesh,1985,1850000
Barbados,1985,0
Belarus,1985,0
Belgium,1985,0
Belize,1985,0
Bhutan,1985,0
Bolivia,1985,0
Bosnia and Herzegovina,1985,0
Brazil,1985,3020
Bulgaria,1985,0
Burundi,1985,0
Cambodia,1985,0
Canada,1985,1310
Cape Verde,1985,0
Central African Republic,1985,0
Chad,1985,0
Chile,1985,0
China,1985,202000
Colombia,1985,0
Comoros,1985,35000
"Congo, Dem. Rep.",1985,0
Costa Rica,1985,0
Croatia,1985,0
Cuba,1985,499000
Cyprus,1985,0
Czech Republic,1985,0
Denmark,1985,0
Djibouti,1985,0
Dominica,1985,0
Dominican Republic,1985,0
Egypt,1985,0
El Salvador,1985,0
Eritrea,1985,0
Estonia,1985,0
Eswatini,1985,0
Fiji,1985,122000
Finland,1985,0
France,1985,0
Gambia,1985,0
Georgia,1985,0
Germany,1985,0
Greece,1985,0
Grenada,1985,0
Guatemala,1985,0
Guinea,1985,0
Guinea-Bissau,1985,0
Haiti,1985,0
Honduras,1985,0
Hungary,1985,0
India,1985,105000
Indonesia,1985,10000
Iran,1985,0
Ireland,1985,0
Israel,1985,0
Italy,1985,0
Jamaica,1985,307
Japan,1985,30300
Jordan,1985,0
Kazakhstan,1985,0
Kenya,1985,0
Kiribati,1985,0
Kyrgyz Republic,1985,0
Lao,1985,0
Latvia,1985,0
Lebanon,1985,0
Lesotho,1985,0
Liberia,1985,0
Lithuania,1985,0
Luxembourg,1985,0
Madagascar,1985,0
Malawi,1985,0
Malaysia,1985,0
Maldives,1985,0
Marshall Islands,1985,0
Mauritania,1985,0
Mauritius,1985,0
Mexico,1985,0
"Micronesia, Fed. Sts.",1985,0
Moldova,1985,0
Mongolia,1985,0
Morocco,1985,0
Mozambique,1985,0
Myanmar,1985,0
Nepal,1985,0
Netherlands,1985,0
New Zealand,1985,0
Nicaragua,1985,0
Niger,1985,0
Nigeria,1985,0
North Korea,1985,0
North Macedonia,1985,0
Norway,1985,0
Oman,1985,0
Pakistan,1985,0
Panama,1985,0
Papua New Guinea,1985,0
Paraguay,1985,0
Peru,1985,0
Philippines,1985,1600000
Poland,1985,0
Portugal,1985,0
Romania,1985,0
Russia,1985,0
Samoa,1985,0
Saudi Arabia,1985,0
Senegal,1985,0
Seychelles,1985,0
Sierra Leone,1985,0
Slovak Republic,1985,0
Slovenia,1985,0
Solomon Islands,1985,650
Somalia,1985,0
South Africa,1985,0
South Korea,1985,77
Spain,1985,0
Sri Lanka,1985,8000
St. Kitts and Nevis,1985,0
St. Lucia,1985,0
St. Vincent and the Grenadines,1985,0
Sudan,1985,0
Sweden,1985,0
Switzerland,1985,0
Syria,1985,0
Tajikistan,1985,0
Tanzania,1985,0
Thailand,1985,0
Timor-Leste,1985,0
Tonga,1985,0
Trinidad and Tobago,1985,0
Turkey,1985,0
Tuvalu,1985,0
Uganda,1985,0
Ukraine,1985,0
United Kingdom,1985,0
United States,1985,1020000
Uruguay,1985,0
Vanuatu,1985,118000
Venezuela,1985,0
Vietnam,1985,451000
Yemen,1985,0
Zimbabwe,1985,0
Afghanistan,1986,0
Albania,1986,0
Algeria,1986,0
Antigua and Barbuda,1986,0
Argentina,1986,1000
Australia,1986,1020
Austria,1986,0
Bahamas,1986,0
Bangladesh,1986,2720000
Barbados,1986,0
Belarus,1986,0
Belgium,1986,0
Belize,1986,0
Bhutan,1986,0
Bolivia,1986,0
Bosnia and Herzegovina,1986,0
Brazil,1986,0
Bulgaria,1986,0
Burundi,1986,0
Cambodia,1986,0
Canada,1986,2400
Cape Verde,1986,0
Central African Republic,1986,0
Chad,1986,0
Chile,1986,30800
China,1986,4620000
Colombia,1986,28000
Comoros,1986,0
"Congo, Dem. Rep.",1986,0
Costa Rica,1986,0
Croatia,1986,0
Cuba,1986,0
Cyprus,1986,0
Czech Republic,1986,0
Denmark,1986,0
Djibouti,1986,0
Dominica,1986,0
Dominican Republic,1986,2010
Egypt,1986,0
El Salvador,1986,0
Eritrea,1986,0
Estonia,1986,0
Eswatini,1986,0
Fiji,1986,3000
Finland,1986,0
France,1986,0
Gambia,1986,0
Georgia,1986,0
Germany,1986,0
Greece,1986,0
Grenada,1986,0
Guatemala,1986,0
Guinea,1986,0
Guinea-Bissau,1986,0
Haiti,1986,0
Honduras,1986,0
Hungary,1986,0
India,1986,3300000
Indonesia,1986,0
Iran,1986,0
Ireland,1986,11
Israel,1986,0
Italy,1986,0
Jamaica,1986,0
Japan,1986,2380
Jordan,1986,0
Kazakhstan,1986,0
Kenya,1986,0
Kiribati,1986,0
Kyrgyz Republic,1986,0
Lao,1986,0
Latvia,1986,0
Lebanon,1986,0
Lesotho,1986,0
Liberia,1986,0
Lithuania,1986,0
Luxembourg,1986,0
Madagascar,1986,84400
Malawi,1986,0
Malaysia,1986,0
Maldives,1986,0
Marshall Islands,1986,0
Mauritania,1986,0
Mauritius,1986,0
Mexico,1986,0
"Micronesia, Fed. Sts.",1986,0
Moldova,1986,0
Mongolia,1986,0
Morocco,1986,0
Mozambique,1986,0
Myanmar,1986,0
Nepal,1986,1
Netherlands,1986,0
New Zealand,1986,0
Nicaragua,1986,0
Niger,1986,0
Nigeria,1986,0
North Korea,1986,0
North Macedonia,1986,0
Norway,1986,0
Oman,1986,0
Pakistan,1986,261
Panama,1986,0
Papua New Guinea,1986,0
Paraguay,1986,0
Peru,1986,0
Philippines,1986,1240000
Poland,1986,0
Portugal,1986,0
Romania,1986,0
Russia,1986,0
Samoa,1986,0
Saudi Arabia,1986,0
Senegal,1986,0
Seychelles,1986,0
Sierra Leone,1986,0
Slovak Republic,1986,0
Slovenia,1986,0
Solomon Islands,1986,150000
Somalia,1986,0
South Africa,1986,0
South Korea,1986,6730
Spain,1986,0
Sri Lanka,1986,0
St. Kitts and Nevis,1986,0
St. Lucia,1986,0
St. Vincent and the Grenadines,1986,0
Sudan,1986,0
Sweden,1986,0
Switzerland,1986,0
Syria,1986,0
Tajikistan,1986,0
Tanzania,1986,0
Thailand,1986,0
Timor-Leste,1986,0
Tonga,1986,0
Trinidad and Tobago,1986,0
Turkey,1986,0
Tuvalu,1986,0
Uganda,1986,0
Ukraine,1986,0
United Kingdom,1986,0
United States,1986,81
Uruguay,1986,0
Vanuatu,1986,0
Venezuela,1986,0
Vietnam,1986,2500000
Yemen,1986,0
Zimbabwe,1986,0
Afghanistan,1987,0
Albania,1987,0
Algeria,1987,0
Antigua and Barbuda,1987,0
Argentina,1987,1000
Australia,1987,0
Austria,1987,0
Bahamas,1987,0
Bangladesh,1987,12
Barbados,1987,230
Belarus,1987,0
Belgium,1987,0
Belize,1987,0
Bhutan,1987,0
Bolivia,1987,0
Bosnia and Herzegovina,1987,0
Brazil,1987,0
